Roller contact length [m],0.001587802146457606
Load no,T_r [C],alpha_max,front_x,front_v (mm/s),Q_roller (power per unit thickness from both rollers [W/m]),Q_roller_noFP (from both rollers power per unit thickness [W/m]),R_tc,V_r,T0, Tamb, Hgap, phi1, phi2, alpha0, h_conv
11,95.0,0.11271991749764537,-inf,1.5,-0.1578984405301071,-0.16017986666433567,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.11273182163161448,-inf,1.5,-0.1724607556875405,-0.17474167272267743,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.11274374319996913,-inf,1.5,-0.1870230727999214,-0.1893034787811973,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.11275568223299814,-inf,1.5,-0.20158539186853927,-0.20386528484161762,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.11276763876110196,-inf,1.5,-0.21614771289788803,-0.2184270908994931,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.11277961281476571,-inf,1.5,-0.2307100358894456,-0.23298889696106298,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.11279160442442956,-inf,1.5,-0.2452723608530438,-0.2475507030207787,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.11280361362070268,-inf,1.5,-0.25983468778740837,-0.2621125090801269,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.11281564043429632,-inf,1.5,-0.27439701669703753,-0.27667431514131324,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.11282768489577762,-inf,1.5,-0.28895934758730096,-0.2912361211983133,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.10369678018208775,-inf,1.5,0.6983915172961659,-7.266193524130861e-09,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.10487326399370603,-inf,1.5,-13.271023509388836,-14.010752182079155,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.10666205119152637,-inf,1.5,-27.219627176442813,-28.02150435689645,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.10941683117447992,-inf,1.5,-41.13582931488576,-42.03225653173087,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.11376000576158646,-inf,1.5,-55.00150956314607,-56.043008706547084,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.12090932765649313,-inf,1.5,-68.78827774767365,-70.05376088137011,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.13371710562789285,-inf,1.5,-82.45138645060979,-84.06451305616503,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.1617746839146938,-inf,1.5,-95.91944207779935,-98.07526523098758,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.9090256182567849,0.0011160290890188053,1.5,-100.08745352439725,-112.0860174057993,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.9103072457095915,0.0007820548999170405,1.5,-101.78875123434317,-126.09676958058415,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.9107666076452595,0.0005921926107614183,1.5,-103.09170224474059,-140.1075217553866,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.9106233675447247,0.0004505968612781772,1.5,-103.46967555150833,-154.11827393018163,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.9096959955722723,0.0003305022524791217,1.5,-102.07705521262274,-168.12902610500228,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.9078282094972783,0.00021592781884122278,1.5,-97.96482626940342,-182.13977827977317,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.9052965436999195,9.25674622338711e-05,1.5,-91.2863498504117,-196.1505304545439,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.9029031130701664,-4.487441129524919e-05,1.5,-83.30385598880794,-210.16128262932753,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.9015765252511162,-0.00019131943643843302,1.5,-75.31068090337517,-224.17203480412098,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.9018841976561329,-0.000335841263617313,1.5,-68.343334993566,-238.1827869788887,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.9038709942580591,-0.00047083930793567297,1.5,-63.01815710828338,-252.1935391536507,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.90724670139459,-0.0005926536373672418,1.5,-59.544952736918766,-266.2042913284388,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.9116242639662007,-0.0007004268218098632,1.5,-57.87789919854809,-280.21504350319435,1e-05,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.10372061249291718,-inf,1.5,0.365994218074158,-1.320559604222706e-09,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.10426187398280845,-inf,1.5,-7.072397454748452,-7.4460629330757655,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.10493107896995792,-inf,1.5,-14.509175322387417,-14.892125864830678,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.10576027552106368,-inf,1.5,-21.943947220567505,-22.338188796581893,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.10679083147252824,-inf,1.5,-29.37622332764586,-29.784251728339363,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.10807697458045477,-inf,1.5,-36.80539024680486,-37.230314660079266,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.1096911566215507,-inf,1.5,-44.23067897015463,-44.67637759182959,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.11173255939584428,-inf,1.5,-51.651123801350046,-52.12244052358602,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.11434114884153242,-inf,1.5,-59.06550925941654,-59.56850345530674,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.11772232433296734,-inf,1.5,-66.47230052732361,-67.01456638707087,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.12219317918428438,-inf,1.5,-73.8695509692848,-74.46062931881399,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.1282780333987809,-inf,1.5,-81.25477675979619,-81.90669225055909,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.13693167340012302,-inf,1.5,-88.62478298073634,-89.35275518229935,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.15016967171138132,-inf,1.5,-95.97541546744014,-96.79881811403293,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.17352088730305332,-inf,1.5,-103.30119439624468,-104.24488104575894,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.23782001665065444,-inf,1.5,-110.59475019261113,-111.69094397751813,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.9109885577636913,0.0005883337445726209,1.5,-103.38633677394103,-119.13700690924286,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.9114875454797626,0.0004379830162514955,1.5,-103.71657291003079,-126.58306984098087,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.9119262179216953,0.00031595732775402884,1.5,-103.34368972605763,-134.0291327727313,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.9124834251415578,0.00020142858331071944,1.5,-102.39742449172812,-141.47519570446943,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.9133469457455973,8.874529442024646e-05,1.5,-101.18519837865621,-148.921258636196,0.001,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.10374418160447577,-inf,1.5,0.007041429852894654,6.573466535292058e-11,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.10375365349431921,-inf,1.5,-0.13695129642826032,-0.14398672055604625,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.1037631640566431,-inf,1.5,-0.2809440827941765,-0.28797344117707685,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.10377271342505157,-inf,1.5,-0.4249369295799179,-0.4319601617980156,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.1037823017627862,-inf,1.5,-0.5689298372107737,-0.5759468824172397,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.10379192923382854,-inf,1.5,-0.7129228061253047,-0.7199336030392274,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.10380159600290746,-inf,1.5,-0.8569158367560763,-0.8639203236610045,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.10381130223550827,-inf,1.5,-1.0009089295448248,-1.0079070442800204,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.1038210480978587,-inf,1.5,-1.1449020849328435,-1.1518937649015015,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.10383083375695033,-inf,1.5,-1.2888953033706807,-1.295880485522423,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.10384065938053949,-inf,1.5,-1.4328885853042665,-1.439867206143727,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.10385052513715008,-inf,1.5,-1.5768819311822422,-1.5838539267633454,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.10386043119605672,-inf,1.5,-1.7208753414574103,-1.7278406473841632,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.1038703777273309,-inf,1.5,-1.8648688165919913,-1.8718273680053708,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.10388036490180966,-inf,1.5,-2.0088623570466813,-2.01581408862737,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.10389039289112127,-inf,1.5,-2.15285596327884,-2.1598008092481367,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.1039004618676713,-inf,1.5,-2.296849635758762,-2.30378752986904,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.10391057200465947,-inf,1.5,-2.440843374952696,-2.4477742504887,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.10392072347608329,-inf,1.5,-2.5848371813350934,-2.591760971109776,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.10393091645673046,-inf,1.5,-2.7288310553778405,-2.7357476917298973,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.10394115112220567,-inf,1.5,-2.872824997557696,-2.879734412352261,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.10374459716017125,-inf,1.5,0.0007102467783214869,-1.4718323709651502e-11,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.1037455502339535,-inf,1.5,-0.013808779193826965,-0.014518198594315468,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.10374650406223583,-inf,1.5,-0.02832780628126567,-0.029036397176353788,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.1037474582821899,-inf,1.5,-0.04284683406265706,-0.0435545957560384,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.10374841289393513,-inf,1.5,-0.0573658625361954,-0.05807279433658917,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.10374936789763002,-inf,1.5,-0.0718848917037687,-0.07259099291514778,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.10375032329345144,-inf,1.5,-0.08640392156109693,-0.08710919149690653,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.1037512790815547,-inf,1.5,-0.10092295211544126,-0.1016273900774882,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.10375223526211355,-inf,1.5,-0.1154419833623008,-0.11614558865822977,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.1037531918352944,-inf,1.5,-0.12996101530578164,-0.13066378723691555,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.1037541488012531,-inf,1.5,-0.14448004794439318,-0.1451819858168796,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.10375510616016424,-inf,1.5,-0.1589990812786492,-0.1597001843977353,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.10375606391219316,-inf,1.5,-0.17351811531061873,-0.17421838297880157,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.10375702205751111,-inf,1.5,-0.1880371500362118,-0.18873658156132345,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.10375798059626944,-inf,1.5,-0.20255618546148682,-0.20325478014008194,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.10375893952865098,-inf,1.5,-0.21707522158213804,-0.21777297872078435,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.10375989885481897,-inf,1.5,-0.23159425840533998,-0.2322911772997863,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.10376085857492717,-inf,1.5,-0.2461132959238112,-0.24680937588051008,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.1037618186891614,-inf,1.5,-0.2606323341426869,-0.26132757446267435,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.10376277919767116,-inf,1.5,-0.275151373060891,-0.27584577304260965,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.10376374010063287,-inf,1.5,-0.28967041267833443,-0.29036397162232946,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.10218896475219777,-inf,1.5,0.5467045951139102,6.298657206560731e-09,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.10268115361742829,-inf,1.5,-17.898414123782363,-18.469370789131823,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.10335643366007179,-inf,1.5,-36.33106631167415,-36.93874158458481,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.10428510373733486,-inf,1.5,-54.744265695435615,-55.40811238000472,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.10556795504019802,-inf,1.5,-73.12713735775876,-73.87748317545021,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
